data,hora,evento,local
1 de fevereiro de 2018,14:00,"Visita a utentes dos projetos de “Housing First” da AEIPS - Associação para o Estudo e Integração Psicossocial e da Associação Crescer
",Lisboa
2 de fevereiro de 2018,15:00,Audiência a João Semedo e José Manuel Pureza Organizadores da Conferência Nacional “Despenalizar a morte assistida: tolerância e livre decisão”,""
2 de fevereiro de 2018,"",Audiências aos Parceiros Sociais,""
2 de fevereiro de 2018,16:00,Confederação do Comércio e Serviços de Portugal (CCP),""
2 de fevereiro de 2018,17:00,Confederação Empresarial de Portugal (CIP),""
5 de fevereiro de 2018,"",Audiências aos Parceiros Sociais,""
5 de fevereiro de 2018,16:00,União Geral de Trabalhadores (UGT),""
5 de fevereiro de 2018,17:00,Confederação Geral dos Trabalhadores Portugueses - Intersindical Nacional (CGTP-IN),""
5 de fevereiro de 2018,18:00,"Reunião de Trabalho - Estratégia Nacional para a Integração de Pessoas em Situação de Sem-Abrigo (ENIPSSA)
",Palácio de Belém
6 de fevereiro de 2018,11:00,Programa “Escritores no Palácio de Belém” com Isabel Alçada e Ana Maria Magalhães,""
6 de fevereiro de 2018,14:30,Programa “Escritores no Palácio de Belém” com António Lobo Antunes,""
6 de fevereiro de 2018,15:20,"Sessão de Abertura da “Banking Summit - Leading into a New Era” promovida pela Associação Portuguesa de Bancos e pela SIBS
","SUD Lisboa - Av. Brasília, Lisboa"
7 de fevereiro de 2018,11:40,"XII Encontro COTEC Europa sob o tema “WORK 4.0: Rethinking the Human-Technology Alliance”
",Palácio Nacional de Mafra
11 de fevereiro de 2018,15:00,"Receção à Seleção Nacional de Futsal que se sagrou campeã europeia da modalidade em Liubliana, Eslovénia",""
12 de fevereiro de 2018,11:30,"Visita ao SISAB 2018 - 23.º Salão Internacional do Setor Alimentar e Bebidas
","Altice Arena, Lisboa"
12 de fevereiro de 2018,15:00,Audiência a uma delegação da ANMP - Associação Nacional de Municípios Portugueses,""
12 de fevereiro de 2018,15:30,Audiência a uma delegação da Ordem dos Psicólogos Portugueses,""
14 de fevereiro de 2018,"",Audiências aos Partidos Políticos com representação parlamentar:,""
14 de fevereiro de 2018,12:00,Pessoas-Animais-Natureza (PAN),""
14 de fevereiro de 2018,13:00,Partido Ecologista “Os Verdes” (PEV),""
15 de fevereiro de 2018,"",Audiências aos Partidos Políticos com representação parlamentar:,""
15 de fevereiro de 2018,12:00, Partido Comunista Português (PCP),""
15 de fevereiro de 2018,14:00,"Visita à Acreditar - Associação de Pais e Amigos de Crianças com Cancro por ocasião do Dia Mundial da Criança com Cancro
",Lisboa
15 de fevereiro de 2018,"",Audiências aos Partidos Políticos com representação parlamentar:,""
15 de fevereiro de 2018,19:00, CDS - Partido Popular (CDS-PP),""
16 de fevereiro de 2018,12:00,"Encerramento das Comemorações dos 60 anos do Instituto Português do Sangue e da Transplantação (IPST)
","Salão Nobre da Academia de Ciências de Lisboa, Lisboa"
16 de fevereiro de 2018,15:00,"Visita ao Laboratório Militar de Produtos Químicos e Farmacêuticos (LMPQF) por ocasião das comemorações do centenário da instituição
",Lisboa
16 de fevereiro de 2018,"",Audiências aos Partidos Políticos com representação parlamentar:,""
16 de fevereiro de 2018,17:00,Bloco de Esquerda (B.E.),""
16 de fevereiro de 2018,18:00,Partido Socialista (PS),""
17 de fevereiro de 2018,18:00,Audiência a uma delegação da AVMISP - Associação das Vítimas do Maior Incêndio de Sempre em Portugal,""
19 de fevereiro de 2018,10:30,"Cerimónia de atribuição do título de Doutor “Honoris Causa” ao Secretário-geral das Nações Unidas, António Guterres
","Aula Magna da Reitoria da Universidade de Lisboa, Lisboa"
19 de fevereiro de 2018,14:30,Audiência à Nova Direção Política do Partido Social Democrata (PPD/PSD),""
20 de fevereiro de 2018,"","Visita de Estado do Presidente da República à República Democrática de São Tomé e Príncipe
 
20 a 22 de fevereiro de 2018",""
20 de fevereiro de 2018,10:00,"Cerimónia Oficial de Boas-vindas no Palácio do Povo
- Honras militares
- Fotografia oficial
- Apresentação das comitivas",""
20 de fevereiro de 2018,10:25,"Encontro a sós entre o Presidente da República e o Presidente da República Democrática de São Tomé e Príncipe, Evaristo do Espirito Santo Carvalho, no Gabinete do Presidente",""
20 de fevereiro de 2018,10:40,Encontro dos dois Chefes de Estado alargado às delegações,""
20 de fevereiro de 2018,10:55,Declarações dos dois Chefes de Estado à Imprensa,""
20 de fevereiro de 2018,11:15,"Encontro entre o Presidente da República e o Presidente da Assembleia Nacional, José da Graça Diogo, com lideres das bancadas parlamentares na Assembleia Nacional",""
20 de fevereiro de 2018,12:00,"Encontro entre o Presidente da República e o Primeiro-Ministro e Chefe de Governo de São Tomé e Príncipe, Patrice Trovoada, no Palácio do Governo",""
20 de fevereiro de 2018,12:25,Saudações do Presidente da República e do Primeiro-Ministro de São Tomé e Príncipe a Grupos Culturais e Populares na Praça Yon Gato,""
20 de fevereiro de 2018,13:00,Almoço com ONG's na Chancelaria da Embaixada de Portugal em São Tomé e Príncipe,""
20 de fevereiro de 2018,14:30,Sessão de abertura do Fórum económico luso-santomense no Centro Cultural Português,""
20 de fevereiro de 2018,15:30,Visita ao Navio NRP Zaire no Porto de Ana Chaves,""
20 de fevereiro de 2018,16:15,"Encontro com cooperantes portugueses nas áreas da Saúde, Educação e Formação Profissional na Chancelaria da Embaixada de Portugal em São Tomé e Príncipe",""
20 de fevereiro de 2018,19:30,Jantar oficial oferecido pelo Presidente da República Democrática de São Tomé e Príncipe em honra do Presidente da República,""
21 de fevereiro de 2018,"","Visita de Estado do Presidente da República à República Democrática de São Tomé e Príncipe
 
20 a 22 de fevereiro de 2018",""
21 de fevereiro de 2018,09:45,Inauguração e visita à Escola Portuguesa de São Tomé e Príncipe,""
21 de fevereiro de 2018,11:00,Encontro com Estudantes na Universidade de São Tomé e Príncipe,""
21 de fevereiro de 2018,12:20,"Almoço oferecido pelo Primeiro-Ministro e Chefe de Governo de São Tomé e Príncipe, Patrice Trovoada, em honra do Presidente da República na Cacau",""
21 de fevereiro de 2018,14:30,"Cerimónia de deposição de uma coroa de flores no Monumento dos Mártires da Liberdade
- Declarações à Imprensa",""
21 de fevereiro de 2018,15:30,Visita à Obra das Irmãs Franciscanas e inauguração do Centro Polidesportivo,""
21 de fevereiro de 2018,19:00,Encontro com a Comunidade Portuguesa de São Tomé e Príncipe na Chancelaria da Embaixada de Portugal,""
22 de fevereiro de 2018,"","Visita de Estado do Presidente da República à República Democrática de São Tomé e Príncipe
 
20 a 22 de fevereiro de 2018",""
22 de fevereiro de 2018,10:00,"Chegada do Presidente da República ao Aeroporto da Região Autónoma do Príncipe
- Alas Militares",""
22 de fevereiro de 2018,10:30,Cerimónia de Boas-vindas no Palácio do Governador Regional,""
22 de fevereiro de 2018,11:00,Visita ao Polo Cultural Português,""
22 de fevereiro de 2018,11:30,Visita à Escola Secundária Padrão,""
22 de fevereiro de 2018,12:30,Apresentação sobre a biodiversidade e as plantas medicinais endémicas no Parque da Biodiversidade,""
22 de fevereiro de 2018,13:15,"Visita à Roça Sundy
- Declarações à Imprensa
- Visita ao local da experiência científica sobre a teoria da relatividade
- Almoço oferecido pelo Governo Regional",""
22 de fevereiro de 2018,15:45,Encontro do Presidente da República com o Governo Regional na Residência Oficial,""
26 de fevereiro de 2018,13:15,"Almoço com o Presidente do Partido Social Democrata, Rui Rio
",Palácio de Belém
26 de fevereiro de 2018,16:00,"Homenagem a Rómulo de Carvalho
",Lisboa
26 de fevereiro de 2018,18:00,"Sessão de Apresentação do livro “Europa de A a Z: Dicionário de Termos Europeus”
",Salão Nobre da Reitoria da Universidade de Lisboa 
27 de fevereiro de 2018,"",Audiências aos Partidos Políticos com representação parlamentar:,""
27 de fevereiro de 2018,15:00,Pessoas-Animais-Natureza (PAN),""
27 de fevereiro de 2018,18:15,"Sessão de Encerramento do 1.º Encontro Nacional dos NPISA - Núcleos de Planeamento e Intervenção Sem-Abrigo
","Auditório da Culturgest, Lisboa "
28 de fevereiro de 2018,12:30,"Cerimónia de Agraciamento do Chefe do Estado-Maior-General das Forças Armadas (CEMGFA), General Artur Pina Monteiro",""
28 de fevereiro de 2018,18:00,"Sessão de Encerramento da Conferência “A Solução Ferroviária”
","Sede Nacional da Ordem dos Engenheiros, Lisboa"
3 de janeiro de 2018,18:30,"Presidente da República recebe cumprimentos de Ano Novo dos Chefes de Missão, Embaixadores e Cônsules-gerais de Portugal acreditados junto de vários Estados e Organizações Internacionais, por ocasião do Seminário Diplomático que decorre em Lisboa
",Antigo Museu Nacional dos Coches
6 de janeiro de 2018,15:00,"Presidente da República recebe o Grupo de Cantares “Terras de Tomás Ribeiro” de Parada de Gonta, Tondela, um dos concelhos atingidos pelos incêndios de outubro, que vem cantar “as Janeiras”",""
7 de janeiro de 2018,16:00,"Tributo a Mário Soares
","Cemitério dos Prazeres, Lisboa"
12 de janeiro de 2018,14:00,Entrega do Pacto para a Justiça ao Presidente da República pelas instituições subscritoras,""
12 de janeiro de 2018,14:15,Audiência à Associação Sindical de Juízes Portugueses,""
12 de janeiro de 2018,15:00,Audiência ao Sindicato dos Magistrados do Ministério Público,""
12 de janeiro de 2018,16:00,Audiência ao Sindicato dos Funcionários Judiciais,""
12 de janeiro de 2018,17:00,Audiência ao Sindicato dos Oficiais de Justiça,""
15 de janeiro de 2018,17:00,Audiência ao Presidente e Juízes do Tribunal Constitucional,""
15 de janeiro de 2018,18:00,"Audiência à Provedora de Justiça, Maria Lúcia Amaral",""
15 de janeiro de 2018,19:00,Audiência a uma delegação da Ordem dos Advogados,""
17 de janeiro de 2018,17:00,"Audiência ao Presidente do Supremo Tribunal de Justiça, António Henriques Gaspar",""
17 de janeiro de 2018,18:00,"Audiência à Procuradora-Geral da República, Joana Marques Vidal",""
18 de janeiro de 2018,15:00,"Sessão Solene de Abertura do Ano Judicial
","Supremo Tribunal de Justiça, Lisboa"
19 de janeiro de 2018,14:45,"Cerimónia de Tomada de Posse da Provedora de Justiça, Professora Doutora Maria Lúcia Amaral, como Membro do Conselho de Estado",""
19 de janeiro de 2018,15:00,Reunião do Conselho de Estado,""
20 de janeiro de 2018,18:00,"Sessão de Encerramento do 3.º Congresso da Plataforma para o Crescimento Sustentável - “Portugal no Futuro: desafios, reformas e compromissos”
","ISCSP - Instituto Superior de Ciências Sociais e Políticas, Lisboa"
23 de janeiro de 2018,15:00,"Cerimónia de abertura Cascais 2018 - Capital Europeia da Juventude
","Centro de Congressos do Estoril, Cascais"
23 de janeiro de 2018,17:30,"Sessão Solene na Academia de Marinha
","Instalações Centrais de Marinha, Lisboa"
24 de janeiro de 2018,11:30,"Aula-debate com alunos do Ensino Secundário
","Escola Secundária de Camarate, Loures"
24 de janeiro de 2018,"",Apresentação de cartas credenciais de novos Embaixadores em Portugal:,""
24 de janeiro de 2018,14:00,"Embaixador da Áustria, Robert Zischg",""
24 de janeiro de 2018,14:25,"Embaixador da República Checa, Petr Selepa",""
24 de janeiro de 2018,14:50,"Embaixadora do Paraguai, Maria José Argaña Mateu",""
24 de janeiro de 2018,15:15,"Embaixador da República Eslovaca, Oldřich Hlaváček",""
24 de janeiro de 2018,15:45,"Apresentação conjunta de cartas credenciais pelos Embaixadores Não-Residentes:

 - Embaixador da Lituânia, Renatas Norkus
 - Embaixadora da Nova Zelândia, Jane Coombs
 - Embaixador do Vietname, Nguyen Thiep",""
24 de janeiro de 2018,17:30,"Visita a feridos do incêndio na Associação Cultural, Recreativa e Humanitária de Vila Nova da Rainha, Tondela, que se encontram internados no Hospital Dona Estefânia e no Hospital de Santa Maria
","Hospital Dona Estefânia, Lisboa"
25 de janeiro de 2018,16:00,"Apresentação de cumprimentos de Ano Novo pelo Corpo Diplomático acreditado em Portugal
",Palácio Nacional de Queluz
26 de janeiro de 2018,14:00,"Audiência ao Secretário-Geral da NATO, Jens Stoltenberg",""
26 de janeiro de 2018,17:00,"Sessão Solene de Abertura do XVI Congresso Nacional da ANAFRE - Associação Nacional de Freguesias
","Viseu Arena, Viseu"
29 de janeiro de 2018,15:00,Audiência a uma delegação da Ordem dos Notários,""
30 de janeiro de 2018,14:30,Programa “Escritores no Palácio de Belém” com Ricardo Araújo Pereira,""
30 de janeiro de 2018,16:00,"Audiência ao Presidente do Supremo Tribunal Administrativo, Vítor Manuel Gonçalves Gomes",""
30 de janeiro de 2018,17:00,"Audiência ao Presidente do Tribunal de Contas, Vítor Manuel da Silva Caldeira",""
31 de janeiro de 2018,"",Audiências aos Parceiros Sociais,""
31 de janeiro de 2018,16:00,Confederação do Turismo Português (CTP),""
31 de janeiro de 2018,17:00,Confederação dos Agricultores de Portugal (CAP),""
